filename,timestep,epochs,batchsize,learningrate,activationfunction,model_accuracy,errorvalues,species
s10tsep10bs128lr0.0001af1,10,10,128,0.0001,1,81,4236,ten
s10tsep10bs128lr0.0001af2,10,10,128,0.0001,2,56,6527,ten
s10tsep10bs128lr0.0001af3,10,10,128,0.0001,3,81,4406,ten
s10tsep10bs128lr0.001af1,10,10,128,0.001,1,57,6409,ten
s10tsep10bs128lr0.001af2,10,10,128,0.001,2,56,6366,ten
s10tsep10bs128lr0.001af3,10,10,128,0.001,3,56,6469,ten
s10tsep10bs128lr0.01af1,10,10,128,0.01,1,0,8197,ten
s10tsep10bs128lr0.01af2,10,10,128,0.01,2,0,8198,ten
s10tsep10bs128lr0.01af3,10,10,128,0.01,3,1,8200,ten
s10tsep10bs256lr0.0001af1,10,10,256,0.0001,1,81,4275,ten
s10tsep10bs256lr0.0001af2,10,10,256,0.0001,2,56,6543,ten
s10tsep10bs256lr0.0001af3,10,10,256,0.0001,3,77,4922,ten
s10tsep10bs256lr0.001af1,10,10,256,0.001,1,56,6452,ten
s10tsep10bs256lr0.001af2,10,10,256,0.001,2,56,6458,ten
s10tsep10bs256lr0.001af3,10,10,256,0.001,3,56,6426,ten
s10tsep10bs256lr0.01af1,10,10,256,0.01,1,0,8198,ten
s10tsep10bs256lr0.01af2,10,10,256,0.01,2,0,8198,ten
s10tsep10bs256lr0.01af3,10,10,256,0.01,3,0,8207,ten
s10tsep20bs128lr0.0001af1,10,20,128,0.0001,1,81,4194,ten
s10tsep20bs128lr0.0001af2,10,20,128,0.0001,2,57,6476,ten
s10tsep20bs128lr0.0001af3,10,20,128,0.0001,3,99,841,ten
s10tsep20bs128lr0.001af1,10,20,128,0.001,1,56,6402,ten
s10tsep20bs128lr0.001af2,10,20,128,0.001,2,56,6459,ten
s10tsep20bs128lr0.001af3,10,20,128,0.001,3,56,6462,ten
s10tsep20bs128lr0.01af1,10,20,128,0.01,1,0,8198,ten
s10tsep20bs128lr0.01af2,10,20,128,0.01,2,0,8198,ten
s10tsep20bs128lr0.01af3,10,20,128,0.01,3,1,8198,ten
s10tsep20bs256lr0.0001af1,10,20,256,0.0001,1,81,3975,ten
s10tsep20bs256lr0.0001af2,10,20,256,0.0001,2,56,6462,ten
s10tsep20bs256lr0.0001af3,10,20,256,0.0001,3,81,4242,ten
s10tsep20bs256lr0.001af1,10,20,256,0.001,1,57,6408,ten
s10tsep20bs256lr0.001af2,10,20,256,0.001,2,57,6525,ten
s10tsep20bs256lr0.001af3,10,20,256,0.001,3,57,6393,ten
s10tsep20bs256lr0.01af1,10,20,256,0.01,1,0,8197,ten
s10tsep20bs256lr0.01af2,10,20,256,0.01,2,0,8199,ten
s10tsep20bs256lr0.01af3,10,20,256,0.01,3,1,8203,ten
s10tsep40bs128lr0.0001af1,10,40,128,0.0001,1,100,531,ten
s10tsep40bs128lr0.0001af2,10,40,128,0.0001,2,68,5562,ten
s10tsep40bs128lr0.0001af3,10,40,128,0.0001,3,100,507,ten
s10tsep40bs128lr0.001af1,10,40,128,0.001,1,57,6410,ten
s10tsep40bs128lr0.001af2,10,40,128,0.001,2,56,6483,ten
s10tsep40bs128lr0.001af3,10,40,128,0.001,3,56,6413,ten
s10tsep40bs128lr0.01af1,10,40,128,0.01,1,0,8199,ten
s10tsep40bs128lr0.01af2,10,40,128,0.01,2,0,8198,ten
s10tsep40bs128lr0.01af3,10,40,128,0.01,3,7,8207,ten
s10tsep40bs256lr0.0001af1,10,40,256,0.0001,1,81,4134,ten
s10tsep40bs256lr0.0001af2,10,40,256,0.0001,2,56,6581,ten
s10tsep40bs256lr0.0001af3,10,40,256,0.0001,3,100,558,ten
s10tsep40bs256lr0.001af1,10,40,256,0.001,1,56,6471,ten
s10tsep40bs256lr0.001af2,10,40,256,0.001,2,56,6489,ten
s10tsep40bs256lr0.001af3,10,40,256,0.001,3,100,489,ten
s10tsep40bs256lr0.01af1,10,40,256,0.01,1,0,8198,ten
s10tsep40bs256lr0.01af2,10,40,256,0.01,2,0,8199,ten
s10tsep40bs256lr0.01af3,10,40,256,0.01,3,0,8196,ten
s10tsep80bs128lr0.0001af1,10,80,128,0.0001,1,81,4144,ten
s10tsep80bs128lr0.0001af2,10,80,128,0.0001,2,56,6405,ten
s10tsep80bs128lr0.0001af3,10,80,128,0.0001,3,100,523,ten
s10tsep80bs128lr0.001af1,10,80,128,0.001,1,81,4213,ten
s10tsep80bs128lr0.001af2,10,80,128,0.001,2,81,4079,ten
s10tsep80bs128lr0.001af3,10,80,128,0.001,3,0,8198,ten
s10tsep80bs128lr0.01af1,10,80,128,0.01,1,0,8198,ten
s10tsep80bs128lr0.01af2,10,80,128,0.01,2,0,8198,ten
s10tsep80bs128lr0.01af3,10,80,128,0.01,3,0,8199,ten
s10tsep80bs256lr0.0001af1,10,80,256,0.0001,1,81,4119,ten
s10tsep80bs256lr0.0001af2,10,80,256,0.0001,2,57,6552,ten
s10tsep80bs256lr0.0001af3,10,80,256,0.0001,3,100,587,ten
s10tsep80bs256lr0.001af1,10,80,256,0.001,1,81,4279,ten
s10tsep80bs256lr0.001af2,10,80,256,0.001,2,56,6467,ten
s10tsep80bs256lr0.001af3,10,80,256,0.001,3,57,6541,ten
s10tsep80bs256lr0.01af1,10,80,256,0.01,1,0,8198,ten
s10tsep80bs256lr0.01af2,10,80,256,0.01,2,0,8198,ten
s10tsep80bs256lr0.01af3,10,80,256,0.01,3,0,8200,ten
s20tsep10bs128lr0.0001af1,20,10,128,0.0001,1,100,470,twenty
s20tsep10bs128lr0.0001af2,20,10,128,0.0001,2,80,4328,twenty
s20tsep10bs128lr0.0001af3,20,10,128,0.0001,3,100,800,twenty
s20tsep10bs128lr0.001af1,20,10,128,0.001,1,81,4204,twenty
s20tsep10bs128lr0.001af2,20,10,128,0.001,2,82,4178,twenty
s20tsep10bs128lr0.001af3,20,10,128,0.001,3,100,552,twenty
s20tsep10bs128lr0.01af1,20,10,128,0.01,1,0,8214,twenty
s20tsep10bs128lr0.01af2,20,10,128,0.01,2,0,8214,twenty
s20tsep10bs128lr0.01af3,20,10,128,0.01,3,0,8208,twenty
s20tsep10bs256lr0.0001af1,20,10,256,0.0001,1,100,803,twenty
s20tsep10bs256lr0.0001af2,20,10,256,0.0001,2,56,6488,twenty
s20tsep10bs256lr0.0001af3,20,10,256,0.0001,3,81,4138,twenty
s20tsep10bs256lr0.001af1,20,10,256,0.001,1,100,528,twenty
s20tsep10bs256lr0.001af2,20,10,256,0.001,2,82,3981,twenty
s20tsep10bs256lr0.001af3,20,10,256,0.001,3,81,4082,twenty
s20tsep10bs256lr0.01af1,20,10,256,0.01,1,0,8213,twenty
s20tsep10bs256lr0.01af2,20,10,256,0.01,2,0,8216,twenty
s20tsep10bs256lr0.01af3,20,10,256,0.01,3,0,8210,twenty
s20tsep20bs128lr0.0001af1,20,20,128,0.0001,1,100,449,twenty
s20tsep20bs128lr0.0001af2,20,20,128,0.0001,2,81,4200,twenty
s20tsep20bs128lr0.0001af3,20,20,128,0.0001,3,100,598,twenty
