filename,timestep,epochs,batchsize,learningrate,activationfunction,model_accuracy,errorvalues,species
s20tsep20bs128lr0.001af1,20,20,128,0.001,1,100,506,twenty
s20tsep20bs128lr0.001af2,20,20,128,0.001,2,82,4161,twenty
s20tsep20bs128lr0.001af3,20,20,128,0.001,3,56,6389,twenty
s20tsep20bs128lr0.01af1,20,20,128,0.01,1,0,8214,twenty
s20tsep20bs128lr0.01af2,20,20,128,0.01,2,0,8216,twenty
s20tsep20bs128lr0.01af3,20,20,128,0.01,3,0,8209,twenty
s20tsep20bs256lr0.0001af1,20,20,256,0.0001,1,100,483,twenty
s20tsep20bs256lr0.0001af2,20,20,256,0.0001,2,81,4305,twenty
s20tsep20bs256lr0.0001af3,20,20,256,0.0001,3,99,769,twenty
s20tsep20bs256lr0.001af1,20,20,256,0.001,1,100,549,twenty
s20tsep20bs256lr0.001af2,20,20,256,0.001,2,56,6373,twenty
s20tsep20bs256lr0.001af3,20,20,256,0.001,3,100,480,twenty
s20tsep20bs256lr0.01af1,20,20,256,0.01,1,0,8214,twenty
s20tsep20bs256lr0.01af2,20,20,256,0.01,2,0,8215,twenty
s20tsep20bs256lr0.01af3,20,20,256,0.01,3,0,8228,twenty
s20tsep40bs128lr0.0001af1,20,40,128,0.0001,1,100,435,twenty
s20tsep40bs128lr0.0001af2,20,40,128,0.0001,2,91,3009,twenty
s20tsep40bs128lr0.0001af3,20,40,128,0.0001,3,100,468,twenty
s20tsep40bs128lr0.001af1,20,40,128,0.001,1,100,489,twenty
s20tsep40bs128lr0.001af2,20,40,128,0.001,2,81,4222,twenty
s20tsep40bs128lr0.001af3,20,40,128,0.001,3,100,427,twenty
s20tsep40bs128lr0.01af1,20,40,128,0.01,1,0,8216,twenty
s20tsep40bs128lr0.01af2,20,40,128,0.01,2,0,8214,twenty
s20tsep40bs128lr0.01af3,20,40,128,0.01,3,14,8186,twenty
s20tsep40bs256lr0.0001af1,20,40,256,0.0001,1,100,436,twenty
s20tsep40bs256lr0.0001af2,20,40,256,0.0001,2,81,4178,twenty
s20tsep40bs256lr0.0001af3,20,40,256,0.0001,3,100,583,twenty
s20tsep40bs256lr0.001af1,20,40,256,0.001,1,100,471,twenty
s20tsep40bs256lr0.001af2,20,40,256,0.001,2,82,4111,twenty
s20tsep40bs256lr0.001af3,20,40,256,0.001,3,100,424,twenty
s20tsep40bs256lr0.01af1,20,40,256,0.01,1,0,8215,twenty
s20tsep40bs256lr0.01af2,20,40,256,0.01,2,0,8215,twenty
s20tsep40bs256lr0.01af3,20,40,256,0.01,3,0,8214,twenty
s20tsep80bs128lr0.0001af1,20,80,128,0.0001,1,100,415,twenty
s20tsep80bs128lr0.0001af2,20,80,128,0.0001,2,81,4146,twenty
s20tsep80bs128lr0.0001af3,20,80,128,0.0001,3,100,441,twenty
s20tsep80bs128lr0.001af1,20,80,128,0.001,1,82,4151,twenty
s20tsep80bs128lr0.001af2,20,80,128,0.001,2,81,4088,twenty
s20tsep80bs128lr0.001af3,20,80,128,0.001,3,100,423,twenty
s20tsep80bs128lr0.01af1,20,80,128,0.01,1,0,8215,twenty
s20tsep80bs128lr0.01af2,20,80,128,0.01,2,0,8215,twenty
s20tsep80bs128lr0.01af3,20,80,128,0.01,3,0,8215,twenty
s20tsep80bs256lr0.0001af1,20,80,256,0.0001,1,100,434,twenty
s20tsep80bs256lr0.0001af2,20,80,256,0.0001,2,81,4242,twenty
s20tsep80bs256lr0.0001af3,20,80,256,0.0001,3,100,568,twenty
s20tsep80bs256lr0.001af1,20,80,256,0.001,1,100,466,twenty
s20tsep80bs256lr0.001af2,20,80,256,0.001,2,81,4133,twenty
s20tsep80bs256lr0.001af3,20,80,256,0.001,3,100,423,twenty
s20tsep80bs256lr0.01af1,20,80,256,0.01,1,0,8215,twenty
s20tsep80bs256lr0.01af2,20,80,256,0.01,2,56,6429,twenty
s20tsep80bs256lr0.01af3,20,80,256,0.01,3,0,8214,twenty
s3tsep10bs128lr0.0001af1,3,10,128,0.0001,1,56,6585,three
s3tsep10bs128lr0.0001af2,3,10,128,0.0001,2,56,6605,three
s3tsep10bs128lr0.0001af3,3,10,128,0.0001,3,56,6465,three
s3tsep10bs128lr0.001af1,3,10,128,0.001,1,56,6792,three
s3tsep10bs128lr0.001af2,3,10,128,0.001,2,56,6353,three
s3tsep10bs128lr0.001af3,3,10,128,0.001,3,0,8190,three
s3tsep10bs128lr0.01af1,3,10,128,0.01,1,0,8185,three
s3tsep10bs128lr0.01af2,3,10,128,0.01,2,0,8189,three
s3tsep10bs128lr0.01af3,3,10,128,0.01,3,0,8185,three
s3tsep10bs256lr0.0001af1,3,10,256,0.0001,1,56,6679,three
s3tsep10bs256lr0.0001af2,3,10,256,0.0001,2,53,6907,three
s3tsep10bs256lr0.0001af3,3,10,256,0.0001,3,56,6549,three
s3tsep10bs256lr0.001af1,3,10,256,0.001,1,56,6474,three
s3tsep10bs256lr0.001af2,3,10,256,0.001,2,0,8185,three
s3tsep10bs256lr0.001af3,3,10,256,0.001,3,0,8185,three
s3tsep10bs256lr0.01af1,3,10,256,0.01,1,0,8187,three
s3tsep10bs256lr0.01af2,3,10,256,0.01,2,0,8185,three
s3tsep10bs256lr0.01af3,3,10,256,0.01,3,0,8188,three
s3tsep20bs128lr0.0001af1,3,20,128,0.0001,1,56,6382,three
s3tsep20bs128lr0.0001af2,3,20,128,0.0001,2,56,6573,three
s3tsep20bs128lr0.0001af3,3,20,128,0.0001,3,56,6365,three
s3tsep20bs128lr0.001af1,3,20,128,0.001,1,56,6564,three
s3tsep20bs128lr0.001af2,3,20,128,0.001,2,57,6470,three
s3tsep20bs128lr0.001af3,3,20,128,0.001,3,0,8183,three
s3tsep20bs128lr0.01af1,3,20,128,0.01,1,0,8185,three
s3tsep20bs128lr0.01af2,3,20,128,0.01,2,0,8186,three
s3tsep20bs128lr0.01af3,3,20,128,0.01,3,0,8186,three
s3tsep20bs256lr0.0001af1,3,20,256,0.0001,1,56,6481,three
s3tsep20bs256lr0.0001af2,3,20,256,0.0001,2,75,5054,three
s3tsep20bs256lr0.0001af3,3,20,256,0.0001,3,56,6457,three
s3tsep20bs256lr0.001af1,3,20,256,0.001,1,56,6545,three
s3tsep20bs256lr0.001af2,3,20,256,0.001,2,56,6476,three
s3tsep20bs256lr0.001af3,3,20,256,0.001,3,55,6723,three
s3tsep20bs256lr0.01af1,3,20,256,0.01,1,0,8187,three
s3tsep20bs256lr0.01af2,3,20,256,0.01,2,0,8187,three
s3tsep20bs256lr0.01af3,3,20,256,0.01,3,0,8193,three
s3tsep40bs128lr0.0001af1,3,40,128,0.0001,1,56,6554,three
s3tsep40bs128lr0.0001af2,3,40,128,0.0001,2,56,6518,three
s3tsep40bs128lr0.0001af3,3,40,128,0.0001,3,56,6526,three
s3tsep40bs128lr0.001af1,3,40,128,0.001,1,56,6486,three
s3tsep40bs128lr0.001af2,3,40,128,0.001,2,57,6478,three
s3tsep40bs128lr0.001af3,3,40,128,0.001,3,0,8187,three
s3tsep40bs128lr0.01af1,3,40,128,0.01,1,0,8188,three
s3tsep40bs128lr0.01af2,3,40,128,0.01,2,0,8186,three
s3tsep40bs128lr0.01af3,3,40,128,0.01,3,0,8186,three
s3tsep40bs256lr0.0001af1,3,40,256,0.0001,1,56,6442,three
s3tsep40bs256lr0.0001af2,3,40,256,0.0001,2,56,6383,three
s3tsep40bs256lr0.0001af3,3,40,256,0.0001,3,57,6590,three
s3tsep40bs256lr0.001af1,3,40,256,0.001,1,56,6470,three
s3tsep40bs256lr0.001af2,3,40,256,0.001,2,56,6489,three
s3tsep40bs256lr0.001af3,3,40,256,0.001,3,56,6435,three
s3tsep40bs256lr0.01af1,3,40,256,0.01,1,0,8187,three
s3tsep40bs256lr0.01af2,3,40,256,0.01,2,56,6441,three
s3tsep40bs256lr0.01af3,3,40,256,0.01,3,1,8190,three
s3tsep80bs128lr0.0001af1,3,80,128,0.0001,1,56,6409,three
s3tsep80bs128lr0.0001af2,3,80,128,0.0001,2,57,6550,three
s3tsep80bs128lr0.0001af3,3,80,128,0.0001,3,57,6431,three
s3tsep80bs128lr0.001af1,3,80,128,0.001,1,56,6386,three
s3tsep80bs128lr0.001af2,3,80,128,0.001,2,57,6459,three
s3tsep80bs128lr0.001af3,3,80,128,0.001,3,0,8186,three
s3tsep80bs128lr0.01af1,3,80,128,0.01,1,0,8186,three
s3tsep80bs128lr0.01af2,3,80,128,0.01,2,0,8186,three
s3tsep80bs128lr0.01af3,3,80,128,0.01,3,0,8186,three
s3tsep80bs256lr0.0001af1,3,80,256,0.0001,1,57,6544,three
s3tsep80bs256lr0.0001af2,3,80,256,0.0001,2,56,6553,three
s3tsep80bs256lr0.0001af3,3,80,256,0.0001,3,56,6468,three
s3tsep80bs256lr0.001af1,3,80,256,0.001,1,56,6506,three
s3tsep80bs256lr0.001af2,3,80,256,0.001,2,57,6502,three
s3tsep80bs256lr0.001af3,3,80,256,0.001,3,57,6444,three
s3tsep80bs256lr0.01af1,3,80,256,0.01,1,0,8186,three
s3tsep80bs256lr0.01af2,3,80,256,0.01,2,0,8186,three
s3tsep80bs256lr0.01af3,3,80,256,0.01,3,0,8185,three
s5tsep10bs128lr0.0001af1,5,10,128,0.0001,1,57,6491,five
s5tsep10bs128lr0.0001af2,5,10,128,0.0001,2,53,7017,five
s5tsep10bs128lr0.0001af3,5,10,128,0.0001,3,56,6509,five
s5tsep10bs128lr0.001af1,5,10,128,0.001,1,56,6522,five
s5tsep10bs128lr0.001af2,5,10,128,0.001,2,56,6523,five
s5tsep10bs128lr0.001af3,5,10,128,0.001,3,0,8192,five
s5tsep10bs128lr0.01af1,5,10,128,0.01,1,0,8188,five
s5tsep10bs128lr0.01af2,5,10,128,0.01,2,0,8191,five
s5tsep10bs128lr0.01af3,5,10,128,0.01,3,0,8201,five
s5tsep10bs256lr0.0001af1,5,10,256,0.0001,1,56,6690,five
s5tsep10bs256lr0.0001af2,5,10,256,0.0001,2,54,6815,five
s5tsep10bs256lr0.0001af3,5,10,256,0.0001,3,56,6387,five
s5tsep10bs256lr0.001af1,5,10,256,0.001,1,57,6584,five
s5tsep10bs256lr0.001af2,5,10,256,0.001,2,56,6469,five
s5tsep10bs256lr0.001af3,5,10,256,0.001,3,0,8188,five
s5tsep10bs256lr0.01af1,5,10,256,0.01,1,0,8189,five
s5tsep10bs256lr0.01af2,5,10,256,0.01,2,0,8192,five
s5tsep10bs256lr0.01af3,5,10,256,0.01,3,0,8190,five
s5tsep20bs128lr0.0001af1,5,20,128,0.0001,1,56,6397,five
s5tsep20bs128lr0.0001af2,5,20,128,0.0001,2,57,6436,five
s5tsep20bs128lr0.0001af3,5,20,128,0.0001,3,81,4258,five
s5tsep20bs128lr0.001af1,5,20,128,0.001,1,56,6439,five
s5tsep20bs128lr0.001af2,5,20,128,0.001,2,56,6510,five
s5tsep20bs128lr0.001af3,5,20,128,0.001,3,0,8191,five
s5tsep20bs128lr0.01af1,5,20,128,0.01,1,0,8191,five
s5tsep20bs128lr0.01af2,5,20,128,0.01,2,0,8189,five
s5tsep20bs128lr0.01af3,5,20,128,0.01,3,0,8188,five
s5tsep20bs256lr0.0001af1,5,20,256,0.0001,1,81,4401,five
s5tsep20bs256lr0.0001af2,5,20,256,0.0001,2,56,6376,five
s5tsep20bs256lr0.0001af3,5,20,256,0.0001,3,56,6472,five
s5tsep20bs256lr0.001af1,5,20,256,0.001,1,57,6423,five
s5tsep20bs256lr0.001af2,5,20,256,0.001,2,56,6417,five
s5tsep20bs256lr0.001af3,5,20,256,0.001,3,0,8191,five
s5tsep20bs256lr0.01af1,5,20,256,0.01,1,0,8190,five
s5tsep20bs256lr0.01af2,5,20,256,0.01,2,0,8189,five
s5tsep20bs256lr0.01af3,5,20,256,0.01,3,1,8203,five
s5tsep40bs128lr0.0001af1,5,40,128,0.0001,1,56,6472,five
s5tsep40bs128lr0.0001af2,5,40,128,0.0001,2,56,6525,five
s5tsep40bs128lr0.0001af3,5,40,128,0.0001,3,82,4070,five
s5tsep40bs128lr0.001af1,5,40,128,0.001,1,56,6375,five
s5tsep40bs128lr0.001af2,5,40,128,0.001,2,56,6458,five
s5tsep40bs128lr0.001af3,5,40,128,0.001,3,0,8190,five
s5tsep40bs128lr0.01af1,5,40,128,0.01,1,0,8190,five
s5tsep40bs128lr0.01af2,5,40,128,0.01,2,0,8190,five
s5tsep40bs128lr0.01af3,5,40,128,0.01,3,0,8189,five
s5tsep40bs256lr0.0001af1,5,40,256,0.0001,1,56,6473,five
s5tsep40bs256lr0.0001af2,5,40,256,0.0001,2,57,6542,five
s5tsep40bs256lr0.0001af3,5,40,256,0.0001,3,80,4354,five
s5tsep40bs256lr0.001af1,5,40,256,0.001,1,57,6430,five
s5tsep40bs256lr0.001af2,5,40,256,0.001,2,57,6467,five
s5tsep40bs256lr0.001af3,5,40,256,0.001,3,0,8191,five
s5tsep40bs256lr0.01af1,5,40,256,0.01,1,0,8190,five
s5tsep40bs256lr0.01af2,5,40,256,0.01,2,0,8190,five
s5tsep40bs256lr0.01af3,5,40,256,0.01,3,0,8194,five
s5tsep80bs128lr0.0001af1,5,80,128,0.0001,1,56,6350,five
s5tsep80bs128lr0.0001af2,5,80,128,0.0001,2,56,6388,five
s5tsep80bs128lr0.0001af3,5,80,128,0.0001,3,81,4129,five
s5tsep80bs128lr0.001af1,5,80,128,0.001,1,56,6381,five
s5tsep80bs128lr0.001af2,5,80,128,0.001,2,57,6411,five
s5tsep80bs128lr0.001af3,5,80,128,0.001,3,0,8189,five
s5tsep80bs128lr0.01af1,5,80,128,0.01,1,0,8190,five
s5tsep80bs128lr0.01af2,5,80,128,0.01,2,0,8190,five
s5tsep80bs128lr0.01af3,5,80,128,0.01,3,0,8189,five
s5tsep80bs256lr0.0001af1,5,80,256,0.0001,1,57,6452,five
s5tsep80bs256lr0.0001af2,5,80,256,0.0001,2,56,6386,five
s5tsep80bs256lr0.0001af3,5,80,256,0.0001,3,80,4327,five
s5tsep80bs256lr0.001af1,5,80,256,0.001,1,56,6351,five
s5tsep80bs256lr0.001af2,5,80,256,0.001,2,56,6456,five
s5tsep80bs256lr0.001af3,5,80,256,0.001,3,56,6409,five
s5tsep80bs256lr0.01af1,5,80,256,0.01,1,0,8189,five
s5tsep80bs256lr0.01af2,5,80,256,0.01,2,0,8190,five
s5tsep80bs256lr0.01af3,5,80,256,0.01,3,0,8190,five
